user_id,item_id,item_name,score,event
user_001,item_001,Black Classic Hoodie,0.9957,purchase
user_001,item_002,White Oversized Tee,0.9948,purchase
user_001,item_003,Beige Linen Shirt,0.9967,purchase
user_001,item_004,Gray Crewneck Sweatshirt,1.0,purchase
user_001,item_005,Neon Green Graphic Tee,0.131,ignored
user_001,item_006,Red Varsity Jacket,0.0899,ignored
user_001,item_007,Navy Polo Shirt,0.2826,ignored
user_001,item_008,Light Blue Oxford Shirt,0.2646,ignored
user_001,item_009,White Button-Down,0.5417,like
user_001,item_010,Black Blazer,0.358,ignored
user_001,item_011,Athletic Performance Tee,0.5552,like
user_001,item_012,Yellow Patterned Blouse,0.1697,ignored
user_001,item_013,Bright Mixed-Print Shirt,0.2923,ignored
user_001,item_014,Budget Plain Tee,0.6308,like
user_001,item_015,Thermal Base Layer,0.5261,like
user_001,item_016,Black Slim Chinos,0.9696,purchase
user_001,item_017,Beige Straight Chinos,1.0,purchase
user_001,item_018,Gray Slim Trousers,1.0,purchase
user_001,item_019,Black Cargo Pants,0.5494,like
user_001,item_020,Patterned Joggers,0.2694,ignored
user_001,item_021,Navy Chinos,0.2886,ignored
user_001,item_022,Formal Gray Trousers,0.5046,like
user_001,item_023,Athletic Track Pants,0.5388,like
user_001,item_024,Neon Pink Leggings,0.1495,ignored
user_001,item_025,Budget Jeans,0.6537,like
user_001,item_026,Insulated Winter Pants,0.2654,ignored
user_001,item_027,Bright Printed Shorts,0.2839,ignored
user_001,item_028,White Minimalist Sneakers,1.0,purchase
user_001,item_029,Black Leather Sneakers,1.0,purchase
user_001,item_030,Chunky Streetwear Sneakers,0.0455,ignored
user_001,item_031,Red High-Top Sneakers,0.017,ignored
user_001,item_032,Navy Boat Shoes,0.2272,ignored
user_001,item_033,Oxford Derby Shoes,0.2759,ignored
user_001,item_034,Running Trainers,0.53,like
user_001,item_035,Budget Canvas Shoes,0.9725,purchase
user_001,item_036,Insulated Winter Boots,0.3808,ignored
user_001,item_037,Bright Platform Sneakers,0.2925,ignored
user_001,item_038,Black Minimal Watch,0.8845,purchase
user_001,item_039,Streetwear Cap,0.4947,like
user_001,item_040,Bold Chain Necklace,0.1636,ignored
user_001,item_041,Navy Knit Beanie,0.546,like
user_001,item_042,Leather Belt,0.4605,like
user_001,item_043,Athletic Gym Bag,0.4727,like
